/* DATA DESCRIPTION:
Code_cultu: french crop code 3 ascii letters
Libelle: french long name
LABEL EN: english long name
CODE EN: english crop code 3 ascii letters
License:    Creative Commons Attribution 4.0 (CC-BY-SA)
Author: IGN - Institut National de l'Information Geographique et 
  forestiere.
*/
Code_cultu;Libelle;LABEL_EN;Code_EN
ACA;Autre culture non précisée (DOM);other cultivation;OCU
AGR;Agrume;Citrus;CIT
AIL;Ail;Garlic;GAR
ANA;Ananas;pineapple;PIN
ANE;Aneth;dill;DIL
ANG;Angélique;Angelica;ANG
ANI;Anis;Anise;ANI
ARA;Arachide;Groundnut;GRN
ART;Artichaut;Artichoke;ART
AUB;Aubergine;Eggplant;EGP
AVH;Avoine d'hiver;winter ;OAW
AVO;Avocat;Avocado;AVO
AVP;Avoine de printemps;sping ;OAS
BAR;Bardane [Asteracée bisannuelle];burdock;BUR
BAS;Basilic;basilic;BAC
BCA;Banane créole autre;Creole banana;BCA
BCF;Banane créole fermage;Creole banana;BCF
BCI;Banane créole indivision;Creole banana;BCI
BCP;Banane créole propriété;Creole banana;BCP
BCR;Banane créole reforme fonciere;Creole banana;BCR
BDH;Blé dur d'hiver;winter durum wheat;WDW
BDP;Blé dur de printemps;sping durum wheat;WDS
BDT;Blé dur de printemps;spring durum wheat late;WDT
BEA;Banane export autre;export banana;BAE
BEF;Banane export fermage;export banana;BEF
BEI;Banane export indivision;export banana;BEI
BEP;Banane export propriété;export banana;BEP
BER;Banane export reforme fonciere;export banana;BER
BFP;Bordure;border along forest with production;BFP
BFS;Bordure;border along forest without production;BFW
BLT;Bleuet;cornflower;CFL
BOP;Bois pâturé;pasture wood;WOP
BOR;Bordure;Field border;BOR
BRH;Bourrache de 5 ans ou moins;Borage;BRG
BRO;Brome de 5 ans ou moins;Bromus;BRO
BTA;Bordure;border (buffer band);BUF
BTH;Blé tendre d'hiver;winter bread wheat;WBW
BTN;Betterave non fourragère / bette;non fodder beetroot;BTN
BTP;Blé tendre de printemps;spring bread wheat;WBS
BUR;Bugle rampant;Ajuga reptans;AJU
BVF;Betterave fourragère;fodder beetroot;BTF
CAB;Caroube;Carob / locust;CAB
CAC;Café/cacao;coffe cocoa;CAC
CAE;Châtaigneraie;chestnut wood;CTW
CAF;Carotte fourragère;fodder carrot;CAF
CAG;Autre céréale ou pseudo-céréale d'un autre genre;other cereal other genus;COG
CAR;Carotte;carrot;CAR
CAV;Carvi;caraway;CAW
CBT;Cerise Bigarreau;Cherrie (bigarreau);CBT
CCN;Concombre/cornichon;cucumber/gherkin;CCG
CCT;Courgette/citrouille;zucchini/pumpkin;ZUP
CEE;Chênaie;oak grove;OAK
CEL;Céleri;celery;CEL
CES;Chicorée/endive/scarole;chicoree/endive/scarol;CES
CGF;Autre céréale de genre Fagopyrum;other cereal genus Fagopyrum;OCF
CGH;Autre céréale de genre Phalaris;other cereal genus Phalaris;OCH
CGO;Autre céréale de genre Sorghum;other cereal genus Sorghum;OCO
