/* DATA DESCRIPTION:
lookup table beetwen code cultu and CODE9 for 73 class nomenclature
Code_cultu: french lpis crop code 3 ascii letters
Libelle: french long name of lpis crop code
Label_2019_V1: french long name for crop class, 73 classes nomenclature
CODE9: name (ASCII 9 letters) of crop class, 73 classes nomenclature
License:    Creative Commons Attribution 4.0 (CC-BY-SA)
Author: IGN - Institut National de l'Information Geographique et 
  forestiere.
*/
Code_cultu;Libelle;Label_2019_V1;CODE9
ACA;Autre culture non précisée (DOM);Autres;AUTRES
BAR;Bardane [Asteracée bisannuelle];Autres;AUTRES
CID;Cultures conduites en inter-rang;Autres;AUTRES
CIT;Cultures conduites en inter-rang;Autres;AUTRES
CRN;Cornille [Fabacée - plante herbacée annuelle];Autres;AUTRES
CUA;Culture sous abattis;Autres;AUTRES
DOL;Dolique [Fabacée - plante herbacée annuelle];Autres;AUTRES
FNU;Fenugrec [Fabacée - plante herbacée annuelle];Autres;AUTRES
GAI;Gaillet;Autres;AUTRES
PEP;Pépinière;Autres;AUTRES
PSN;Psyllium noir de Provence;Autres;AUTRES
PSY;Plantain psyllium;Autres;AUTRES
VAL;Valériane;Autres;AUTRES
VER;Véronique;Autres;AUTRES
BVF;Betterave fourragère;Autres fourrages;AUTR_FOUR
CAF;Carotte fourragère;Autres fourrages;AUTR_FOUR
CHF;Chou fourrager;Autres fourrages;AUTR_FOUR
CPL;Fourrage composé de céréales et/ou protéagineux (< 50 %) et/ou de légumineuses (< 50 %);Autres fourrages;AUTR_FOUR
FAG;Autre fourrage annuel d'un autre genre;Autres fourrages;AUTR_FOUR
FSG;Autre plante fourragère sarclée d'un autre genre;Autres fourrages;AUTR_FOUR
NVF;Navet fourrager;Autres fourrages;AUTR_FOUR
RDF;Radis fourrager [Brassicacée];Autres fourrages;AUTR_FOUR
CML;Cameline;Autres oléagineux;AUTR_OLEA
MOL;Mélange d'oléagineux;Autres oléagineux;AUTR_OLEA
NVH;Navette d'hiver;Autres oléagineux;AUTR_OLEA
NYG;Nyger [Asteracée annuelle];Autres oléagineux;AUTR_OLEA
OAG;Autre oléagineux d'un autre genre;Autres oléagineux;AUTR_OLEA
OHR;Autre oléagineux d'hiver d'espèce Brassica rapa;Autres oléagineux;AUTR_OLEA
NVE;Navette d'été;Autres oléagineux de printemps;AUTR_OLEP
OEH;Autre oléagineux d'espèce Helianthus;Autres oléagineux de printemps;AUTR_OLEP
OEI;Oeillette;Autres oléagineux de printemps;AUTR_OLEP
OPN;Autre oléagineux de printemps d'espèce Brassica napus [= colza];Autres oléagineux de printemps;AUTR_OLEP
OPR;Autre oléagineux de printemps d'espèce Brassica rapa [= navette];Autres oléagineux de printemps;AUTR_OLEP
MPP;Mélange de protéagineux;Autres protéagineux;AUTR_PROT
MPT;Mélange de protéagineux prépondérants et de céréales;Autres protéagineux;AUTR_PROT
PAG;Autre protéagineux d'un autre genre;Autres protéagineux;AUTR_PROT
AVH;Avoine d'hiver;Avoine d’hiver;AVOINE_H
CHA;Autre céréales d'hiver du genre Avena;Avoine d’hiver;AVOINE_H
AVP;Avoine de printemps;Avoine de printemps;AVOINE_P
CPA;Autre céréale de printemps de genre Avena;Avoine de printemps;AVOINE_P
BCA;Banane créole autre;Banane;BANANE
BCF;Banane créole fermage;Banane;BANANE
BCI;Banane créole indivision;Banane;BANANE
BCP;Banane créole propriété;Banane;BANANE
BCR;Banane créole reforme fonciere;Banane;BANANE
BEA;Banane export autre;Banane;BANANE
BEF;Banane export fermage;Banane;BANANE
BEI;Banane export indivision;Banane;BANANE
BEP;Banane export propriété;Banane;BANANE
BER;Banane export reforme fonciere;Banane;BANANE
BTN;Betterave non fourragère / bette;Betterave;BETTERAVE
CGH;Autre céréale de genre Phalaris;Biomasse;BIOMASSE
CGS;Autre céréale de genre Setaria;Biomasse;BIOMASSE
MCT;Miscanthus;Biomasse;BIOMASSE
PCL;Phacélie de 5 ans ou moins;Biomasse;BIOMASSE
XFE;X-Festulolium de 5 ans ou moins [croisement fétuque-ray-grass];Biomasse;BIOMASSE
BDH;Blé dur d'hiver;Blé dur d’hiver;BLE_DUR_H
BDP;Blé dur de printemps;Blé dur de printemps;BLE_DUR_P
BDT;Blé dur de printemps;Blé dur de printemps;BLE_DUR_P
BTH;Blé tendre d'hiver;Blé tendre d’hiver;BLE_TEN_H
CHT;Autre céréale d'hiver de genre Triticum;Blé tendre d’hiver;BLE_TEN_H
BTP;Blé tendre de printemps;Blé tendre de printemps;BLE_TEN_P
CPT;Autre céréale de printemps du genre Triticum;Blé tendre de printemps;BLE_TEN_P
BOP;Bois pâturé;Bois pâturé;BOIS_PATU
BFP;Bordure;Bordure;BORDURE
BFS;Bordure;Bordure;BORDURE
BOR;Bordure;Bordure;BORDURE
BTA;Bordure;Bordure;BORDURE
CAC;Café/cacao;Café / Cacao;CAFE_CACA
CSA;Canne à sucre autre;Canne à sucre;CANN_SUCR
CSC;Canne à sucre;Canne à sucre;CANN_SUCR
CSF;Canne à sucre fermage;Canne à sucre;CANN_SUCR
CSI;Canne à sucre indiviision;Canne à sucre;CANN_SUCR
CSP;Canne à sucre propriété;Canne à sucre;CANN_SUCR
CSR;Canne à sucre reforme;Canne à sucre;CANN_SUCR
CAG;Autre céréale ou pseudo-céréale d'un autre genre;Céréales;CEREALES
CGP;Autre céréale de genre Panicum;Céréales;CEREALES
CHV;Chanvre;Chanvre;CHANVRE
CSE;Chanvre (non admissible après instruction);Chanvre;CHANVRE
CAE;Châtaigneraie;Chênaie châtaigneraie;CHEN_CHAT
CEE;Chênaie;Chênaie châtaigneraie;CHEN_CHAT
CZH;Colza d'hiver;Colza d’hiver;COLZA_H
OHN;Autre oléagineux d'hiver d'espèce Brassica napus;Colza d’hiver;COLZA_H
