HFDTLT,LBLHFDTLT,GEWASGROEP
901,Aardappelen (geplande oogst vanaf 1/9),Aardappelen
902,Aardappelen (pootgoed),Aardappelen
904,Aardappelen (geplande oogst voor 1/9),Aardappelen
9201,Hazelnoten,Fruit en Noten
9202,Walnoten,Fruit en Noten
9516,Aardbeien,Fruit en Noten
9710,Meerjarige fruitteelten (appel),Fruit en Noten
9711,Meerjarige fruitteelten (peer),Fruit en Noten
9713,Meerjarige fruitteelten (pruim),Fruit en Noten
9714,Andere meerjarige fruitteelten,Fruit en Noten
9715,Druiven,Fruit en Noten
9716,Wijnstokken,Fruit en Noten
9717,Frambozen,Fruit en Noten
9718,Rode bessen,Fruit en Noten
9719,Stekelbessen,Fruit en Noten
972,Andere eenjarige fruitteelten,Fruit en Noten
9720,Zwarte bessen,Fruit en Noten
9721,Braambessen,Fruit en Noten
9722,Blauwe bessen,Fruit en Noten
9723,Andere bessen,Fruit en Noten
9725,"Meerjarige fruitteelten (zoete kers, laagstam)",Fruit en Noten
9726,"Meerjarige fruitteelten (zoete kers, hoogstam)",Fruit en Noten
9727,Meerjarige fruitteelten (zure kers),Fruit en Noten
9728,Meerjarige fruitteelten (perzik),Fruit en Noten
9729,Kiwibes,Fruit en Noten
9730,Meerjarige fruitteelten hoogstam (appel),Fruit en Noten
9731,Meerjarige fruitteelten hoogstam (peer),Fruit en Noten
311,Wintertarwe,"Granen, zaden en peulvruchten"
312,Zomertarwe,"Granen, zaden en peulvruchten"
321,Wintergerst,"Granen, zaden en peulvruchten"
322,Zomergerst,"Granen, zaden en peulvruchten"
323,Brouwgerst,"Granen, zaden en peulvruchten"
331,Winterrogge,"Granen, zaden en peulvruchten"
332,Zomerrogge,"Granen, zaden en peulvruchten"
34,Japanse haver,"Granen, zaden en peulvruchten"
341,Winterhaver,"Granen, zaden en peulvruchten"
342,Zomerhaver,"Granen, zaden en peulvruchten"
35,Triticale,"Granen, zaden en peulvruchten"
36,Spelt,"Granen, zaden en peulvruchten"
37,Boekweit,"Granen, zaden en peulvruchten"
381,Sorghum,"Granen, zaden en peulvruchten"
382,Quinoa,"Granen, zaden en peulvruchten"
383,Gierst,"Granen, zaden en peulvruchten"
39,Andere granen (bv. Mengkoren),"Granen, zaden en peulvruchten"
4111,Winterkoolzaad,"Granen, zaden en peulvruchten"
4112,Winterraapzaad,"Granen, zaden en peulvruchten"
4121,Zomerkoolzaad,"Granen, zaden en peulvruchten"
42,Zonnebloempitten,"Granen, zaden en peulvruchten"
43,Sojabonen,"Granen, zaden en peulvruchten"
44,Andere oliehoudende zaden,"Granen, zaden en peulvruchten"
51,Voedererwten (niet voor menselijke consumptie),"Granen, zaden en peulvruchten"
52,Tuin- en veldbonen (niet voor menselijke consumptie),"Granen, zaden en peulvruchten"
53,Niet-bittere lupinen,"Granen, zaden en peulvruchten"
541,Mengteelt wintertarwe of triticale en vlinderbloemige,"Granen, zaden en peulvruchten"
542,Mengteelt  andere granen en vlinderbloemige (bv. erwten en gerst,"Granen, zaden en peulvruchten"
603,Zaaizaad graangewassen,"Granen, zaden en peulvruchten"
6031,Zaaizaad wintertarwe of triticale,"Granen, zaden en peulvruchten"
604,Zaaizaad olie- en vezelhoudende planten,"Granen, zaden en peulvruchten"
98,Faunamengsel,"Granen, zaden en peulvruchten"
60,Grasland,Grasland
601,Zaaizaad grassen,Grasland
63,Graskruiden mengsel,Grasland
955,Graszoden,Grasland
9823,Weiland met niet-oogstbare bomen (> 100 bomen per ha),Grasland
9827,Weiland met oogstbare hoogstam bomen (> 100 bomen/ha),Grasland
9828,Natuurlijk grasland met minimumactiviteit,Grasland
9829,Natuurlijk grasland zonder minimumactiviteit,Grasland
605,Zaaizaad groenten,"Groenten, kruiden en sierplanten"
831,Erwten (andere dan droog geoogst) - industrie,"Groenten, kruiden en sierplanten"
832,Tuin- en veldbonen (Vicia faba) - industrie,"Groenten, kruiden en sierplanten"
8409,Pastinaak - industrie,"Groenten, kruiden en sierplanten"
8410,Stamslabonen/sperziebonen - industrie,"Groenten, kruiden en sierplanten"
8411,Snijbonen - industrie,"Groenten, kruiden en sierplanten"
8412,Flageolets (voor de boon) - industrie,"Groenten, kruiden en sierplanten"
8456,Butternutpompoenen - industrie,"Groenten, kruiden en sierplanten"
8511,Asperges - industrie,"Groenten, kruiden en sierplanten"
8512,Spruitkool - industrie,"Groenten, kruiden en sierplanten"
8513,Sjalotten - industrie,"Groenten, kruiden en sierplanten"
8514,Ajuinen (niet-vroege) - industrie,"Groenten, kruiden en sierplanten"
8515,Witloof (forcerie) - industrie,"Groenten, kruiden en sierplanten"
8517,Rabarber - industrie,"Groenten, kruiden en sierplanten"
8518,Kropsla - industrie,"Groenten, kruiden en sierplanten"
8519,Spinazie - industrie,"Groenten, kruiden en sierplanten"
8523,Bloemkool - industrie,"Groenten, kruiden en sierplanten"
8524,Boerenkool - industrie,"Groenten, kruiden en sierplanten"
8525,Broccoli - industrie,"Groenten, kruiden en sierplanten"
8527,Rode kool - industrie,"Groenten, kruiden en sierplanten"
8528,Koolraap - industrie,"Groenten, kruiden en sierplanten"
8529,Koolrabi - industrie,"Groenten, kruiden en sierplanten"
8530,Raap - industrie,"Groenten, kruiden en sierplanten"
8532,Rode biet - industrie,"Groenten, kruiden en sierplanten"
8533,Schorseneer - industrie,"Groenten, kruiden en sierplanten"
8534,(Knol)venkel - industrie,"Groenten, kruiden en sierplanten"
8535,Wortel (niet-vroege) (consumptie) - industrie,"Groenten, kruiden en sierplanten"
8537,Andijvie - industrie,"Groenten, kruiden en sierplanten"
8538,Prei - industrie,"Groenten, kruiden en sierplanten"
8539,Bladselder - industrie,"Groenten, kruiden en sierplanten"
8540,Witte kool - industrie,"Groenten, kruiden en sierplanten"
8541,Courgettes - industrie,"Groenten, kruiden en sierplanten"
8542,Veldsla - industrie,"Groenten, kruiden en sierplanten"
8543,Knolselder - industrie,"Groenten, kruiden en sierplanten"
8544,Ijsbergsla - industrie,"Groenten, kruiden en sierplanten"
8545,Raketsla - Rucola - industrie,"Groenten, kruiden en sierplanten"
