LBLHFDTLT,GEWASGROEP
Aardappelen (geplande oogst vanaf 1/9),Aardappelen
Aardappelen (geplande oogst voor 1/9),Aardappelen
Aardappelen (pootgoed),Aardappelen
Meerjarige fruitteelten (peer),Fruit en Noten
Andere meerjarige fruitteelten,Fruit en Noten
Aardbeien,Fruit en Noten
Meerjarige fruitteelten (appel),Fruit en Noten
Meerjarige fruitteelten (pruim),Fruit en Noten
Meerjarige fruitteelten (zure kers),Fruit en Noten
Frambozen,Fruit en Noten
Wijnstokken,Fruit en Noten
Braambessen,Fruit en Noten
Rode bessen,Fruit en Noten
Stekelbessen,Fruit en Noten
Meerjarige fruitteelten hoogstam (appel),Fruit en Noten
Druiven,Fruit en Noten
Hazelnoten,Fruit en Noten
"Meerjarige fruitteelten (zoete kers, laagstam)",Fruit en Noten
Blauwe bessen,Fruit en Noten
"Meerjarige fruitteelten (zoete kers, hoogstam)",Fruit en Noten
Kiwibes,Fruit en Noten
Andere bessen,Fruit en Noten
Walnoten,Fruit en Noten
Zwarte bessen,Fruit en Noten
Meerjarige fruitteelten hoogstam (peer),Fruit en Noten
Andere eenjarige fruitteelten,Fruit en Noten
Meerjarige fruitteelten (perzik),Fruit en Noten
Faunamengsel,"Granen, zaden en peulvruchten"
Wintertarwe,"Granen, zaden en peulvruchten"
Triticale,"Granen, zaden en peulvruchten"
Zomerhaver,"Granen, zaden en peulvruchten"
Wintergerst,"Granen, zaden en peulvruchten"
Tuin- en veldbonen (niet voor menselijke consumptie),"Granen, zaden en peulvruchten"
Zomertarwe,"Granen, zaden en peulvruchten"
Boekweit,"Granen, zaden en peulvruchten"
Zomergerst,"Granen, zaden en peulvruchten"
Spelt,"Granen, zaden en peulvruchten"
Andere granen (bv. Mengkoren),"Granen, zaden en peulvruchten"
Winterrogge,"Granen, zaden en peulvruchten"
Winterkoolzaad,"Granen, zaden en peulvruchten"
Zaaizaad olie- en vezelhoudende planten,"Granen, zaden en peulvruchten"
Zomerrogge,"Granen, zaden en peulvruchten"
Voedererwten (niet voor menselijke consumptie),"Granen, zaden en peulvruchten"
Sorghum,"Granen, zaden en peulvruchten"
Winterhaver,"Granen, zaden en peulvruchten"
Zaaizaad wintertarwe of triticale,"Granen, zaden en peulvruchten"
Zaaizaad graangewassen,"Granen, zaden en peulvruchten"
Zomerkoolzaad,"Granen, zaden en peulvruchten"
Brouwgerst,"Granen, zaden en peulvruchten"
Sojabonen,"Granen, zaden en peulvruchten"
Zonnebloempitten,"Granen, zaden en peulvruchten"
Quinoa,"Granen, zaden en peulvruchten"
Mengteelt  andere granen en vlinderbloemige (bv. erwten en gerst,"Granen, zaden en peulvruchten"
Japanse haver,"Granen, zaden en peulvruchten"
Mengteelt wintertarwe of triticale en vlinderbloemige,"Granen, zaden en peulvruchten"
Andere oliehoudende zaden,"Granen, zaden en peulvruchten"
Gierst,"Granen, zaden en peulvruchten"
Winterraapzaad,"Granen, zaden en peulvruchten"
Niet-bittere lupinen,"Granen, zaden en peulvruchten"
Grasland,Grasland
Graszoden,Grasland
Natuurlijk grasland met minimumactiviteit,Grasland
Weiland met oogstbare hoogstam bomen (> 100 bomen/ha),Grasland
Zaaizaad grassen,Grasland
Natuurlijk grasland zonder minimumactiviteit,Grasland
Graskruiden mengsel,Grasland
Weiland met niet-oogstbare bomen (> 100 bomen per ha),Grasland
Bloemkool - industrie,"Groenten, kruiden en sierplanten"
