Index;Label;CODE9
0;Pomme de terre;POMM_TERR
1;Pomme de terre;POMM_TERR
2;Pomme de terre;POMM_TERR
3;verger;VERGER
4;Noyers;NOYERS
5;Fruits, légumes, fleurs;FR_LE_FLE
6;Fruits, légumes, fleurs;FR_LE_FLE
7;Fruits, légumes, fleurs;FR_LE_FLE
8;Fruits, légumes, fleurs;FR_LE_FLE
9;Fruits, légumes, fleurs;FR_LE_FLE
10;Fruits, légumes, fleurs;FR_LE_FLE
11;vigne;VIGNE
12;Fruits, légumes, fleurs;FR_LE_FLE
13;Fruits, légumes, fleurs;FR_LE_FLE
14;Fruits, légumes, fleurs;FR_LE_FLE
15;Fruits, légumes, fleurs;FR_LE_FLE
16;Fruits, légumes, fleurs;FR_LE_FLE
17;Fruits, légumes, fleurs;FR_LE_FLE
18;Fruits, légumes, fleurs;FR_LE_FLE
19;Fruits, légumes, fleurs;FR_LE_FLE
20;Fruits, légumes, fleurs;FR_LE_FLE
21;Fruits, légumes, fleurs;FR_LE_FLE
22;Fruits, légumes, fleurs;FR_LE_FLE
23;Fruits, légumes, fleurs;FR_LE_FLE
24;Fruits, légumes, fleurs;FR_LE_FLE
25;Fruits, légumes, fleurs;FR_LE_FLE
26;Fruits, légumes, fleurs;FR_LE_FLE
27;Blé tendre d'hiver;BLE_TEN_H
28;Blé tendre de printemps;BLE_TEN_P
29;Orge d'hiver;ORGE_H
30;Orge de printemps;ORGE_P
31;Autres;AUTRES
32;Seigle d'hiver;SEILGLE_H
33;Seigle de printemps;SEIGLE_P
34;Avoine d'hiver;AVOINE_H
35;Avoine d'hiver;AVOINE_H
36;Avoine de printemps;AVOINE_P
37;Triticale de printemps;TRITICA_P
38;Épeautre;EPEAUTRE
39;Sarrasin;SARRASIN
40;Sorgho;SORGHO
41;céréales;CEREALES
42;Millet;MILLET
43;Céréales;CEREALES
44;Colza d'hiver;COLZA_H
45;Colza d'hiver;COLZA_H
46;Colza de printemps;COLZA_P
47;Tournesol;TOURNESOL
48;Soja;SOJA
49;Autres oléagineux;AUTR_OLEA
50;Pois de printemps;POIS_P
51;Fève;FEVE
52;Lupin de printemps;LUPIN_P
53;Mélange de céréales;ML_CEREAL
54;Mélange de céréales;ML_CEREAL
55;Céréales;CEREALES
56;Blé tendre d'hiver;BLE_TEN_H
57;Autres oléagineux;AUTR_OLEA
58;Autres;AUTRES
59;Herbe prédominante;HERB_PRED
60;Herbe prédominante;HERB_PRED
61;Herbe prédominante;HERB_PRED
62;Herbe prédominante;HERB_PRED
63;Bois pâturé;BOIS_PATU
64;Bois pâturé;BOIS_PATU
65;Herbe prédominante;HERB_PRED
66;Herbe prédominante;HERB_PRED
67;Fruits, légumes, fleurs;FR_LE_FLE
68;Fruits, légumes, fleurs;FR_LE_FLE
69;Fève;FEVE
70;Fruits, légumes, fleurs;FR_LE_FLE
71;Fruits, légumes, fleurs;FR_LE_FLE
72;Fruits, légumes, fleurs;FR_LE_FLE
73;Fruits, légumes, fleurs;FR_LE_FLE
74;Fruits, légumes, fleurs;FR_LE_FLE
75;Fruits, légumes, fleurs;FR_LE_FLE
76;Fruits, légumes, fleurs;FR_LE_FLE
77;Fruits, légumes, fleurs;FR_LE_FLE
78;Fruits, légumes, fleurs;FR_LE_FLE
79;Fruits, légumes, fleurs;FR_LE_FLE
80;Fruits, légumes, fleurs;FR_LE_FLE
81;Fruits, légumes, fleurs;FR_LE_FLE
82;Fruits, légumes, fleurs;FR_LE_FLE
83;Fruits, légumes, fleurs;FR_LE_FLE
84;Fruits, légumes, fleurs;FR_LE_FLE
85;Fruits, légumes, fleurs;FR_LE_FLE
86;Fruits, légumes, fleurs;FR_LE_FLE
87;Fruits, légumes, fleurs;FR_LE_FLE
88;Fruits, légumes, fleurs;FR_LE_FLE
