HFDTLT,LBLHFDTLT,GEWASGROEP,Label,CODE9,LABEL_2019_ENG,CODE9_EN
901,Aardappelen (geplande oogst vanaf 1/9),Aardappelen,Pomme de terre,POMM_TERR,Potato,POTATO
902,Aardappelen (pootgoed),Aardappelen,Pomme de terre,POMM_TERR,Potato,POTATO
904,Aardappelen (geplande oogst voor 1/9),Aardappelen,Pomme de terre,POMM_TERR,Potato,POTATO
9201,Hazelnoten,Fruit en Noten,verger,VERGER,Orchard,ORCHARD
9202,Walnoten,Fruit en Noten,Noyers,NOYERS,Walnut,WALNUT
9516,Aardbeien,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9710,Meerjarige fruitteelten (appel),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9711,Meerjarige fruitteelten (peer),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9713,Meerjarige fruitteelten (pruim),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9714,Andere meerjarige fruitteelten,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9715,Druiven,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9717,Frambozen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9718,Rode bessen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9719,Stekelbessen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
972,Andere eenjarige fruitteelten,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9720,Zwarte bessen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9721,Braambessen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9722,Blauwe bessen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9723,Andere bessen,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9725,"Meerjarige fruitteelten (zoete kers, laagstam)",Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9726,"Meerjarige fruitteelten (zoete kers, hoogstam)",Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9727,Meerjarige fruitteelten (zure kers),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9728,Meerjarige fruitteelten (perzik),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9729,Kiwibes,Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9730,Meerjarige fruitteelten hoogstam (appel),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9731,Meerjarige fruitteelten hoogstam (peer),Fruit en Noten,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
605,Zaaizaad groenten,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
831,Erwten (andere dan droog geoogst) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8409,Pastinaak - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8410,Stamslabonen/sperziebonen - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8411,Snijbonen - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8412,Flageolets (voor de boon) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8456,Butternutpompoenen - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8511,Asperges - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8512,Spruitkool - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8513,Sjalotten - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8514,Ajuinen (niet-vroege) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8515,Witloof (forcerie) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8517,Rabarber - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8518,Kropsla - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8519,Spinazie - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8523,Bloemkool - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8524,Boerenkool - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8525,Broccoli - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8527,Rode kool - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8528,Koolraap - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8529,Koolrabi - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8530,Raap - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8533,Schorseneer - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8534,(Knol)venkel - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8535,Wortel (niet-vroege) (consumptie) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8537,Andijvie - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8538,Prei - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8539,Bladselder - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8540,Witte kool - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8541,Courgettes - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8542,Veldsla - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
